16:11;2*3=6
16:12;(2+4j)*(3+5j)=(-14+22j)
17:14;(8+0j)/(2+0j)=(4+0j)
17:15;8.0/2.0=4.0
17:17;(2+8j)/(4-1j)=2j
17:20;(65+2j)/(4-5j)=(6.097560975609756+8.121951219512194j)
17:23;2.0^8.0=256.0
17:23;2.0^3.0=8.0
17:55;0*2.0=0.0
18:14;(3+8j)/(4-2j)=(-0.2+1.9j)
18:15;8.0^2.0=64.0
18:17;9.0//2.0=4.0
18:18;9.0%2.0=1.0
18:44;9.0//2.0=4.0
18:55;2.0%(5+4j)=С этим типом данных нельзя проводить подобные операции!
19:05;8.0/2.0=4.0
19:22;(3+9j)^(56-3j)=(2.072795517527982e+56+7.920506208657612e+55j)
19:26;2.0//7.0=0.0
19:36;2.0//3.0=0.0
19:37;3.0//2.0=1.0
19:57;(56+9j)+(45-97j)=(101-88j)
19:58;4.0+5.0=9.0
20:00;(34+8j)-(98-34j)=(-64+42j)
21:52;Operation is not possible!8.0=4.0
21:58;Operation is not possible!8.0=4.0
21:59;Operation is not possible!8.0=4.0
22:00;Operation is not possible!8.0=4.0
22:02;Operation is not possible!9.0=3.0
22:08;Operation is not possible!8.0=2.8284271247461903
22:11;Operation is not possible!9.0=3.0
22:31;Operation is not possible!9.0=3.0
22:32;Operation is not possible!9.0=3.0
22:32;sqrt9.0=3.0
22:33;sqrt(9-9j)=(3.29605234040343-1.365269581686682j)
23:09;sqrt8.0=2.8284271247461903
23:10;(5+9j)+(56-76j)=(61-67j)
23:11;(34+76j)+(45-34j)=(79+42j)
23:12;3.0+(34+9j)=(37+9j)
23:13;7.0*4.0=28.0
23:14;5.0*6.0=30.0
23:14;6.0*5.0=30.0
23:15;sqrt9.0=3.0
23:15;sqrt(45+89j)=(8.50675127509074+5.231139192972974j)
19:52;45.0+65.0=110.0
19:55;34.0*(7+34j)=(238+1156j)
20:13;(56+4j)/(3-14j)=(0.5463414634146342+3.8829268292682926j)
20:20;sqrt9.0=3.0
20:27;(5+9j)+(45-1j)=(50+8j)
20:31;(78.98+0j)-(34.9+0j)=(44.080000000000005+0j)
20:32;(34.98+0j)-(23.9+0j)=(11.079999999999998+0j)
21:17;56.0/23.0=2.4347826086956523
21:21;(34.8+0j)/(23.5+0j)=(1.4808510638297872+0j)
21:50;(45.98+0j)/(34.23+0j)=(1.3432661408121531+0j)
21:56;45.34/34.2=1.3257309941520468
21:57;(3+5j)/(4-2j)=(0.1+1.3j)
22:02;34.4/45.76=0.7517482517482518
22:03;0*45.1=0.0
22:08;45.89-23.12=22.77
22:11;-5.4-4.0=-9.4
22:16;(4-2j)^3.0=(16-88j)
22:19;13.0//4.0=3.0
22:22;(45+8j)//4.0=С этим типом данных нельзя проводить подобные операции!
22:25;10.0%2.0=0.0
22:27;(45+2j)//2.0=С этим типом данных нельзя проводить подобные операции!
